date,ticker,name,open,high,low,close,volume,amount
2026-07-14,079550,LIG디펜스앤에어로스페이스,743000,743000,653000,665000,183671,123383000000.0
2026-07-14,068270,셀트리온,175100,178200,171800,172800,703284,122832000000.0
2026-07-14,024110,기업은행,21150,21400,20750,21100,1196458,25292000000.0
2026-07-14,012330,현대모비스,490000,491000,452000,466000,418514,196765000000.0
2026-07-14,096770,SK이노베이션,110400,110900,104900,104900,792319,85352000000.0
2026-07-14,055550,신한지주,111100,112000,106000,106500,1416481,153879000000.0
2026-07-14,011200,HMM,19600,20400,19460,19760,2347652,46938000000.0
2026-07-14,012450,한화에어로스페이스,941000,943000,862000,872000,232572,204947000000.0
2026-07-14,033780,KT&G,178600,178700,170300,171000,315388,54355001300.0
2026-07-14,000270,기아,143700,144700,138700,139600,1133303,160205000000.0
2026-07-14,138040,메리츠금융지주,117500,117500,112500,113600,353772,40731078000.0
2026-07-14,034020,두산에너빌리티,73000,73400,68200,70900,4068785,287999000000.0
2026-07-14,064350,현대로템,173100,173100,160700,165400,545230,90096000000.0
2026-07-14,105560,KB금융,189800,190200,179600,180000,2311790,421621000000.0
2026-07-14,017670,SK텔레콤,83200,85800,82700,83900,736413,61908000000.0
2026-07-14,034730,SK,575000,585000,543000,562000,350430,197576000000.0
2026-07-14,010140,삼성중공업,22000,22050,20850,21250,4066261,86643000000.0
2026-07-14,329180,HD현대중공업,486000,486500,453000,466000,511104,238615000000.0
2026-07-14,316140,우리금융지주,31550,31850,30550,30700,2739827,85032000000.0
2026-07-14,207940,삼성바이오로직스,1387000,1400000,1339000,1368000,64284,87674000000.0
2026-07-14,028260,삼성물산,359500,369000,334000,354000,745813,262078000000.0
2026-07-14,032830,삼성생명,314500,324500,301000,317000,578351,181772000000.0
2026-07-14,373220,LG에너지솔루션,332000,332000,316500,322000,366135,118429000000.0
2026-07-14,005380,현대차,433500,434000,403250,424500,1292670,543745000000.0
2026-07-14,009150,삼성전기,1270000,1330000,1163000,1260000,1345033,1676370000000.0
2026-07-14,005935,삼성전자우,175300,186400,171000,182200,5332578,957351000000.0
2026-07-14,402340,SK스퀘어,1161000,1204000,1086000,1190000,1091330,1266250000000.0
2026-07-14,000660,SK하이닉스,1825000,1936000,1678000,1913000,10428442,19062902000000.0
2026-07-14,005930,삼성전자,255000,270000,247000,263000,39989493,10390330000000.0
